Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization,Debt to equity
Info Edg.(India),532777,NAUKRI,INE663F01032,Retailing,Internet & Catalogue Retail,958.00,275.62,129.68,0.00,48480.82,1.27,266.07,59396.76,2125.79,0.00,1341.00,766.27,1.64,54423.60,5196.68,1621.58,0.00,0.00,0.13,59396.76,3575.10,274.89,0.00,12.45,2.00,295.37,2.48,121.57,64.69,246.38,2113.80,809.62,2006.73,0.00,1890.46,627.75,87.74,55.22,64.07,77.28,0.76,0.70,1032.54,242.30,87.88,62118.69,0.01
InfoBeans Tech.,543644,INFOBEAN,INE344S01016,IT - Software,Computers - Software & Consulting,131.50,15.18,24.24,0.00,343.81,0.00,19.70,441.95,229.58,0.00,103.44,122.26,0.00,141.41,303.10,30.81,0.00,114.45,0.00,441.95,272.29,15.18,0.00,92.39,10.00,53.23,0.11,7.19,9.72,24.49,76.11,169.62,255.38,0.00,65.65,40.65,53.17,12.61,30.84,33.35,0.25,0.06,223.17,101.20,3.83,1275.02,0.04
Infollion Resea.,,INFOLLION,INE0NNZ01013,Commercial Services & Supplies,Diversified Commercial Services,289.55,0.00,9.70,0.00,51.76,0.00,0.00,68.77,0.05,0.00,0.03,4.43,0.00,0.01,61.91,6.43,0.00,0.00,0.01,68.77,55.48,0.00,0.00,23.00,10.00,37.31,0.00,2.23,0.97,0.00,40.83,0.02,0.04,0.87,8.81,5.07,,,0.00,0.00,,,0.02,0.01,,281.06,0.00
Infosys,500209,INFY,INE009A01021,IT - Software,Computers - Software & Consulting,1249.75,8796.00,2024.00,0.00,81002.00,0.00,8227.00,143384.00,54691.00,8298.00,23730.00,32373.00,1277.00,15810.00,90458.00,49934.00,7341.00,0.00,2953.00,143384.00,40524.00,8796.00,0.00,36131.00,5.00,19915.00,0.00,4826.00,415.09,8359.00,37723.00,27622.00,49196.00,293.00,26909.00,29065.00,29505.00,30867.00,5474.00,4633.00,0.00,0.00,25800.00,23789.00,12574.00,506822.48,0.11
Innova Captab,544067,INNOVACAP,INE0DUT01020,Pharmaceuticals & Biotechnology,Pharmaceuticals,669.25,336.47,57.23,0.00,963.92,335.18,2.94,1692.14,905.51,0.00,75.64,847.03,7.32,0.00,814.11,413.41,0.00,0.00,0.00,1692.14,400.70,1.02,235.85,394.94,10.00,58.44,1.62,259.77,5.72,245.11,314.27,357.88,406.39,340.79,84.53,50.77,,,199.16,54.07,,,183.04,73.16,,3829.78,0.33
Innovana Think.,544302,INNOVANA,INE403Y01018,IT - Software,Computers - Software & Consulting,349.50,50.35,20.66,0.00,239.58,4.54,39.68,345.79,68.46,0.00,9.83,81.16,3.51,78.62,90.57,31.30,0.00,0.00,0.48,345.79,59.27,47.76,12.34,42.40,10.00,18.26,1.10,10.09,2.05,22.62,27.36,29.70,37.40,5.25,14.00,-9.38,6.73,,14.63,0.57,0.08,,27.75,12.17,9.37,722.07,0.19
Innovassynth Technologies,533315,,INE690J01011,Finance,Investment Company,56.00,4.86,27.98,0.00,2.32,0.00,4.40,37.36,0.00,0.00,0.00,0.00,0.00,37.28,0.09,7.06,0.00,0.00,1.05,37.36,-6.97,0.00,0.00,0.00,10.00,0.04,0.00,0.19,2.43,3.59,-1.55,0.00,0.00,0.00,-0.93,,,,2.85,,,,0.00,,,422.52,0.16
Innovators,541353,,INE870Z01015,Industrial Manufacturing,Industrial Products,119.75,47.43,18.87,0.00,129.08,60.44,0.20,265.92,103.08,0.00,38.86,63.52,0.00,0.38,178.99,108.30,0.00,0.00,111.80,265.92,70.69,0.00,49.65,31.18,10.00,36.67,22.43,30.85,1.89,43.15,62.14,63.39,97.39,0.00,62.77,77.74,68.46,55.51,33.21,42.64,51.46,43.56,39.52,28.73,13.17,225.95,0.32
Inox Green,543667,INOXGREEN,INE510W01014,Power,Power Generation,140.60,95.19,374.71,0.00,1652.78,30.29,150.64,2465.56,1063.90,0.00,359.52,684.94,7.05,485.93,1032.14,216.17,0.00,0.00,45.59,2465.56,815.97,0.00,93.76,233.99,10.00,62.59,17.79,68.11,29.36,173.80,255.71,755.20,1061.51,7.05,-410.69,-947.58,-169.65,,904.16,1084.92,956.22,,952.98,775.91,499.68,5644.95,0.05
Inox India,544046,INOXINDIA,INE616N01034,Industrial Products,Other Industrial Products,1159.35,99.39,18.15,0.00,962.04,33.10,10.15,1895.23,469.93,0.00,110.58,393.39,4.92,277.42,1472.28,885.78,0.00,0.00,291.40,1895.23,586.50,8.89,567.98,193.57,2.00,25.74,386.40,165.12,9.08,16.14,146.81,255.47,343.30,4.76,58.43,99.51,,,54.54,144.92,,,133.74,109.52,,10522.69,0.10
Inox Wind,539083,INOXWIND,INE066P01011,Electrical Equipment,Heavy Electrical Equipment,78.87,1139.88,1728.24,0.00,4944.60,750.38,749.57,10004.77,3141.63,0.00,851.02,2388.41,401.75,488.57,6082.67,2596.15,0.00,0.00,2101.48,10004.77,3486.52,37.28,1455.26,3271.08,10.00,340.10,302.33,924.71,138.72,2078.50,413.16,1842.94,2511.98,304.05,-220.71,-290.06,909.01,1109.54,2637.49,1120.71,1061.58,874.31,1343.36,1227.77,984.83,13630.61,0.17
Insecticid.India,532851,INSECTICID,INE070I01018,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,558.00,246.44,29.10,0.00,1174.05,99.62,5.04,1996.73,471.11,0.00,189.24,384.09,81.37,30.57,1493.62,756.38,0.00,8.22,105.69,1996.73,737.24,7.41,744.13,642.69,10.00,27.17,121.55,420.37,2.96,87.31,585.07,285.86,450.77,141.86,494.95,439.02,294.71,105.61,53.95,191.11,114.36,321.70,252.98,239.10,231.57,1623.66,0.20
Insolation Ener,543620,INA,INE0LGX01024,Power,Power Generation,98.60,257.34,22.04,0.00,665.65,108.09,0.00,1234.44,103.01,0.00,25.72,316.95,67.75,41.43,666.26,459.33,43.45,0.00,0.00,1234.44,206.93,14.40,181.77,237.65,1.00,163.93,26.62,139.18,20.83,96.03,66.73,46.22,62.83,1.40,17.91,,,,31.26,,,,9.04,,,2173.06,0.37
Integra Engg.,505358,,INE984B01023,Industrial Manufacturing,Industrial Products,131.40,33.64,3.44,0.00,100.53,19.06,19.61,160.27,74.25,0.00,15.82,62.43,0.00,0.00,96.38,50.83,0.00,0.00,1.24,160.27,45.55,0.00,37.99,51.11,1.00,3.12,0.15,15.53,3.44,24.69,34.79,29.56,41.74,8.97,30.97,19.20,10.19,15.92,36.92,18.89,20.21,16.01,19.33,16.30,11.29,452.35,0.32
Intellect Design,538835,INTELLECT,INE306R01017,IT - Software,Computers - Software & Consulting,644.85,89.81,69.66,0.00,2887.01,0.00,71.78,4093.70,1616.63,0.00,889.65,1076.22,1.07,383.92,2104.14,961.00,0.00,473.07,116.01,4093.70,1143.14,89.24,0.00,601.00,5.00,384.58,1.04,246.91,13.68,44.30,796.41,557.75,1286.09,373.90,402.37,204.64,218.25,111.53,20.42,299.76,159.37,7.71,435.04,368.07,273.99,9007.10,0.03
Interarch Build.,544232,INTERARCH,INE00M901018,Construction,Civil Construction,1675.90,11.21,16.77,0.00,783.63,5.97,13.91,1249.91,254.22,0.00,36.38,277.92,0.07,51.34,843.21,442.59,0.00,40.90,144.31,1249.91,400.62,2.50,251.90,177.30,10.00,170.41,0.00,153.35,1.44,13.39,214.44,165.85,191.64,12.68,155.57,98.25,,,7.85,3.94,,,154.85,77.06,,2810.82,0.01
International Ge,544311,IGIL,INE0Q9301021,Commercial Services & Supplies,Diversified Commercial Services,325.60,142.61,86.43,0.00,1323.29,0.00,145.05,1755.08,568.77,0.00,185.14,409.98,58.75,0.00,1080.25,209.26,0.00,0.00,1.49,1755.08,870.99,142.61,2.69,234.38,2.00,464.19,21.83,91.16,43.22,145.05,715.19,383.63,568.77,36.09,237.13,,,,26.71,,,,110.06,,,14071.10,0.10
Intl. Conveyors,509709,INTLCONV,INE575C01027,Industrial Manufacturing,Industrial Products,68.41,118.35,6.34,0.00,384.99,86.33,0.03,559.96,31.58,0.00,18.03,13.16,0.07,330.10,485.77,137.92,0.00,296.50,10.66,559.96,347.85,0.01,27.36,23.57,1.00,3.14,7.84,17.97,6.34,124.71,12.66,14.95,31.38,0.00,75.14,-13.66,-17.76,2.23,19.51,62.96,65.05,58.35,17.47,15.15,18.75,436.33,0.30
Intl. Travel Hse,500213,,INE262B01016,Leisure Services,"Tour, Travel Related Services",290.15,1.52,7.99,0.00,166.11,0.00,1.37,243.45,70.42,0.00,42.74,40.02,1.19,84.86,185.41,65.27,0.00,0.00,0.00,243.45,120.14,0.76,0.00,76.11,10.00,12.31,0.00,50.39,0.80,1.45,31.68,22.41,61.60,0.00,34.74,83.82,114.32,72.20,0.49,0.00,0.00,0.00,18.68,35.64,31.12,231.96,0.01
Inventurus Knowl,544309,IKS,INE115Q01022,IT - Services,IT Enabled Services,1320.20,766.06,17.06,0.00,2223.79,755.04,100.58,3606.48,1964.21,0.00,174.16,1863.21,2.30,360.82,945.54,685.85,0.00,0.00,0.00,3606.48,259.69,124.42,0.00,619.20,1.00,229.10,0.00,83.72,17.09,1311.10,-43.94,1832.79,1930.12,2.72,377.84,151.81,,,65.19,0.00,,,75.93,36.32,,22662.97,0.34
IOL Chemicals,524164,IOLCP,INE485C01029,Pharmaceuticals & Biotechnology,Pharmaceuticals,72.51,158.98,58.71,0.00,1692.41,117.04,0.00,2412.86,1543.74,0.00,373.40,1141.81,64.48,21.16,1140.43,573.91,0.00,0.00,5.52,2412.86,566.52,0.00,384.34,523.09,2.00,168.14,8.33,355.80,29.35,32.76,556.85,932.69,1235.58,100.87,562.94,394.23,79.95,74.94,43.95,59.49,421.88,400.48,560.64,469.04,405.64,2128.38,0.09
ION Exchange,500214,IONEXCHANG,INE570A01022,Other Utilities,Water Supply & Management,323.25,420.63,14.23,0.00,1278.39,301.22,21.38,3110.49,602.97,0.00,210.72,639.81,202.76,14.34,2182.43,1410.14,0.00,0.41,72.15,3110.49,772.29,19.82,386.14,1044.63,1.00,390.15,248.42,728.08,14.67,152.41,691.02,366.54,536.28,60.68,419.25,168.04,57.26,36.03,55.22,122.17,164.76,86.36,192.10,194.04,144.87,4740.99,0.33
Ipca Labs.,524494,IPCALAB,INE571A01038,Pharmaceuticals & Biotechnology,Pharmaceuticals,1507.30,1278.92,25.37,0.00,7401.53,1156.38,206.36,12262.66,6994.56,0.00,2727.75,4370.94,776.87,1203.00,6251.86,2537.46,0.00,982.53,268.69,12262.66,3714.40,73.74,2515.87,2077.06,1.00,263.80,15.39,821.60,25.37,1438.36,2624.86,4553.53,7020.79,342.89,2261.52,1291.04,868.56,709.62,807.22,500.72,627.56,934.99,2402.19,2058.73,1952.96,38240.83,0.17
IRIS Regtech Solutions,540735,IRIS,INE864K01010,IT - Software,Software Products,226.35,2.05,20.57,0.00,168.53,0.00,4.30,250.21,74.40,0.00,57.42,21.39,0.00,38.72,133.61,55.17,0.00,0.00,0.02,250.21,78.44,0.76,0.00,26.09,10.00,51.13,0.01,2.65,1.94,6.47,30.85,12.94,68.20,2.94,13.86,3.90,1.62,12.67,6.63,11.03,15.92,9.01,17.18,26.61,18.80,465.55,0.01
IRM Energy,544004,IRMENERGY,INE07U701015,Gas,LPG/CNG/PNG/LNG Supplier,192.70,81.71,41.06,10.23,930.00,27.00,114.72,1240.84,769.02,0.00,119.69,681.25,106.72,52.72,396.01,170.00,0.00,0.00,206.85,1240.84,226.01,18.94,3.64,39.70,10.00,287.74,0.00,26.38,4.11,250.53,360.19,557.39,645.06,86.79,52.80,-2.15,,,230.40,144.92,,,300.41,197.70,,791.21,0.08
ISGEC Heavy,533033,ISGEC,INE858B01029,Construction,Civil Construction,864.00,925.10,7.35,0.00,2780.72,493.88,366.63,7922.72,1819.64,0.00,846.39,960.21,99.42,43.46,6760.20,4269.77,0.00,0.00,704.72,7922.72,2490.43,14.50,1353.52,2747.07,1.00,206.88,1396.48,1118.32,7.35,814.39,1229.45,956.14,1752.45,959.42,955.56,757.75,672.50,317.31,1233.18,990.75,174.09,524.35,977.10,833.19,628.79,6352.93,0.33
IST,508807,,INE684B01029,Auto Components,Auto Components & Equipments,600.00,5.13,5.85,0.00,1603.15,0.00,5.96,1720.06,312.49,0.00,36.89,274.80,0.48,1285.07,188.59,30.15,0.00,439.33,0.74,1720.06,158.44,5.13,12.49,8.87,5.00,7.01,0.00,1.23,1.17,4.81,92.04,254.21,286.06,0.26,55.76,22.26,19.66,28.17,14.46,0.00,0.08,0.00,250.25,238.45,201.48,699.85,0.00
ITC,500875,ITC,INE154A01025,Diversified FMCG,Diversified FMCG,294.40,362.97,1252.90,0.00,69819.45,0.00,284.54,90802.66,33637.89,0.00,11683.04,22400.12,1305.01,32548.01,47278.47,15536.86,1186.23,0.00,1179.87,90802.66,31741.61,205.60,18762.59,6503.38,1.00,4046.36,1264.18,5157.96,1248.47,303.43,14430.72,27820.22,40188.66,2860.78,9804.46,11997.25,6574.40,7279.35,249.44,277.45,35.92,268.80,24231.59,21713.34,16523.96,368867.56,0.01
ITC Hotels,544325,ITCHOTELS,INE379A01028,Leisure Services,Hotels & Resorts,144.60,80.23,208.29,0.00,10830.80,0.00,73.30,12821.90,10604.78,0.00,2415.34,8126.55,182.69,1047.14,3594.87,1156.11,0.00,598.78,265.28,12821.90,2438.76,73.06,1350.87,161.37,1.00,1506.66,294.14,383.58,,73.59,488.75,6436.18,8488.70,1767.56,,,,,,,,,,,,30119.83,0.01
ITCONS E-Soluti.,543806,,INE0O6A01019,Commercial Services & Supplies,Diversified Commercial Services,264.85,8.33,5.60,0.00,36.10,3.67,0.07,58.07,2.88,0.00,1.33,1.37,0.00,0.00,29.82,15.10,0.00,0.00,0.00,58.07,14.72,0.00,0.00,26.41,10.00,1.90,0.00,0.32,0.50,1.77,9.57,1.31,2.42,0.00,1.12,0.78,,,1.06,1.49,,,0.05,0.10,,238.59,0.20
Ivalue Infosolut,544523,IVALUE,INE056801025,IT - Services,IT Enabled Services,226.15,95.63,10.92,1.25,492.29,38.90,27.77,1423.81,40.59,0.00,5.83,31.32,0.00,22.93,1289.76,881.21,0.00,0.00,10.68,1423.81,408.55,25.42,12.18,1069.66,2.00,138.68,2.17,707.29,0.42,68.82,269.77,40.29,44.57,0.00,154.24,141.44,,,19.54,29.48,,,8.10,6.72,,1235.46,0.19
IZMO,532341,IZMO,INE848A01014,IT - Services,IT Enabled Services,692.00,6.91,14.95,0.00,364.58,2.71,9.02,467.30,475.73,0.00,199.64,283.72,0.00,0.00,177.41,76.75,0.00,0.00,0.00,467.30,100.66,3.31,0.50,116.60,10.00,12.91,0.00,11.74,1.41,8.52,47.59,261.07,453.90,0.00,26.92,-6.44,15.64,-24.42,9.18,9.42,13.19,27.54,228.83,212.35,178.97,1035.41,0.02
J Kumar Infra,532940,JKIL,INE576I01022,Construction,Civil Construction,470.85,750.54,37.83,0.00,3132.18,562.67,110.24,6196.52,2277.56,0.00,1128.46,1265.21,291.75,2.58,4155.73,2509.25,0.00,1.69,2963.00,6196.52,1646.48,3.08,326.80,1666.15,5.00,773.84,621.02,875.66,7.57,592.60,1435.72,970.74,1937.73,111.15,943.74,673.11,522.03,176.89,471.56,707.63,580.38,515.44,789.65,854.50,716.10,3562.74,0.24
J.G.Chemicals,544138,JGCHEM,INE0MB501011,Chemicals & Petrochemicals,Commodity Chemicals,319.10,5.11,39.19,0.00,454.05,0.20,0.00,532.61,56.76,0.00,17.84,64.38,1.60,119.02,446.03,26.38,0.00,40.77,2.72,532.61,419.65,0.00,107.50,138.09,10.00,48.29,0.04,13.27,3.92,13.78,322.37,41.71,56.13,0.00,122.05,65.58,,,93.94,52.43,,,22.38,20.74,,1250.44,0.01
Jagran Prakashan,532705,JAGRAN,INE199G01027,Media,Print Media,60.01,197.64,43.53,0.00,1899.35,104.26,81.45,2809.19,2072.08,0.00,1324.73,735.99,16.55,1121.78,1523.26,584.51,0.00,1061.15,40.84,2809.19,938.75,82.83,71.67,473.73,2.00,82.86,46.79,186.58,21.77,246.83,380.80,908.05,2034.38,6.49,379.21,292.51,459.81,164.70,351.60,280.74,147.79,647.99,1269.48,1454.67,1476.41,1306.12,0.10
Jagsonpal Pharma,507789,JAGSNPHARM,INE048B01035,Pharmaceuticals & Biotechnology,Pharmaceuticals,182.25,8.84,13.36,0.00,239.51,0.00,9.24,299.03,103.14,0.00,8.69,89.96,0.00,0.00,201.79,33.27,0.00,0.00,16.17,299.03,168.52,8.84,15.85,22.57,2.00,159.24,0.00,12.97,6.61,8.94,177.65,9.30,11.59,0.00,60.31,62.08,66.03,40.60,0.00,4.66,8.30,39.31,22.60,22.09,21.32,1220.39,0.03
Jai Balaji Inds.,532976,JAIBALAJI,INE091G01026,Ferrous Metals,Iron & Steel,60.99,458.65,182.45,0.00,2039.43,557.96,0.69,3944.43,3134.45,0.00,1520.56,1591.02,190.63,0.79,2002.03,1572.76,0.00,0.00,276.32,3944.43,429.27,0.69,1307.49,332.83,2.00,54.48,169.14,620.41,81.83,472.53,11.14,1381.93,2808.70,116.23,-2753.48,-2731.60,-3285.42,-522.41,3169.28,3463.94,3510.38,3076.50,1165.05,1238.20,1409.03,5564.03,0.21
Jai Corp,512237,JAICORPLTD,INE070D01027,Industrial Products,Plastic Products - Industrial,98.45,0.93,17.55,235.72,1438.76,0.00,0.00,1516.28,324.91,0.00,124.32,203.29,1.09,853.87,808.74,23.08,0.00,57.90,17.41,1516.28,785.66,0.00,197.20,59.48,1.00,6.93,3.54,3.04,17.84,235.72,314.58,212.89,329.54,0.93,380.98,387.28,510.34,658.24,235.72,469.80,621.60,27.37,223.69,255.78,273.60,1727.86,0.00
Jainam Ferro,,JAINAM,INE02KC01010,Ferrous Metals,Ferro & Silica Manganese,181.05,1.97,10.56,0.00,141.72,0.00,1.45,180.30,27.41,0.00,9.94,18.44,0.00,39.56,104.48,22.21,0.00,0.00,0.20,180.30,82.27,0.00,17.23,19.20,10.00,54.35,1.17,16.49,1.06,9.52,52.38,5.21,11.77,11.58,46.83,16.07,,,0.81,5.66,,,3.32,2.20,,212.03,0.01
Jamna Auto Inds.,520051,JAMNAAUTO,INE039C01032,Auto Components,Auto Components & Equipments,114.45,12.22,39.89,0.00,995.58,0.00,357.96,1463.43,812.40,0.00,308.45,601.65,269.71,2.91,525.42,390.10,0.00,0.00,28.57,1463.43,135.32,12.22,316.00,29.96,1.00,107.79,0.00,8.22,39.89,292.73,244.00,468.24,737.48,121.00,203.82,60.62,101.37,-46.70,191.22,152.27,62.60,64.27,436.07,368.69,301.41,4574.69,0.01
Jaro Institute,544534,JARO,INE00YJ01010,Other Consumer Services,E-Learning,458.65,48.40,22.16,0.00,341.32,51.11,12.96,739.62,39.62,0.00,23.46,13.90,0.00,0.00,696.31,343.48,0.00,0.00,2.55,739.62,352.83,11.32,0.00,20.15,10.00,433.46,0.00,17.35,1.50,24.85,100.22,17.26,33.38,0.00,28.42,29.66,,,20.15,26.17,,,0.86,2.32,,1017.13,0.13
Jasch Gauging,544112,,INE0QXV01014,Industrial Manufacturing,Industrial Products,471.20,0.02,4.53,0.00,88.37,0.05,0.00,108.40,14.53,0.00,5.54,8.92,0.00,0.01,99.47,14.42,0.00,0.00,3.69,108.40,85.05,0.00,6.87,4.93,10.00,85.43,4.28,1.82,0.45,0.12,68.69,9.56,14.59,0.05,0.05,,,,0.00,,,,0.00,,,213.54,0.00
Jash Engineering,544402,JASH,INE039O01029,Industrial Manufacturing,Industrial Products,359.00,112.31,12.58,0.00,429.92,81.42,17.63,772.13,280.42,0.00,110.18,200.21,11.42,14.02,540.37,287.00,0.00,10.54,122.98,772.13,253.37,19.03,229.52,174.62,2.00,107.62,87.91,83.93,6.19,80.07,202.64,127.39,218.95,5.54,89.89,39.08,38.41,13.15,81.98,83.70,63.56,38.81,111.61,101.05,87.97,2258.27,0.25
Jayant Agro Org.,524330,JAYAGROGN,INE785A01026,Chemicals & Petrochemicals,Specialty Chemicals,165.00,191.38,15.00,0.00,573.58,103.42,6.30,943.22,437.39,0.00,121.81,309.69,18.09,12.71,578.07,279.54,0.00,0.00,422.94,943.22,298.53,6.31,404.36,126.12,5.00,10.54,3.47,58.24,3.00,159.38,280.20,290.69,394.00,20.30,260.54,104.41,152.60,31.35,148.94,182.02,556.24,257.87,227.54,224.98,218.89,495.00,0.33
Jaykay Enter.,500306,JAYKAY,INE903A01025,Aerospace & Defense,Aerospace & Defense,127.10,73.38,13.03,0.00,464.47,2.95,34.26,655.00,124.87,0.00,20.33,100.81,21.22,71.59,422.08,133.00,27.19,0.00,27.37,655.00,289.08,7.05,40.28,128.08,1.00,129.14,0.00,33.15,11.69,63.10,57.43,97.52,113.49,6.99,42.41,31.14,36.40,,5.87,0.00,0.00,,10.47,1.04,1.14,1655.95,0.15
JD Cables,544524,,INE14VP01014,Industrial Products,Cables - Electricals,162.30,42.64,0.05,0.00,103.98,45.91,0.00,211.21,11.14,0.00,1.55,9.04,0.00,0.00,201.12,83.50,0.00,0.00,0.00,211.21,117.62,0.00,44.91,68.66,10.00,82.54,1.83,31.00,0.01,17.77,3.74,3.35,3.87,0.00,-1.11,,,,4.71,,,,1.84,,,366.00,0.34
Jeena Sikho,544476,JSLL,INE0J5801029,Pharmaceuticals & Biotechnology,Pharmaceuticals,586.55,106.20,24.86,0.00,328.76,0.73,10.00,546.19,177.08,0.00,24.43,261.06,17.19,91.64,249.17,107.66,0.00,1.95,1296.01,546.19,141.51,105.61,15.73,92.83,2.00,24.02,6.73,16.68,12.43,0.54,113.43,66.85,82.38,3.94,-1.79,-2.52,,,7.43,12.46,,,28.35,16.66,,7290.87,0.30
Jenburkt Pharma,524731,,INE354A01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,976.00,1.71,4.41,0.00,178.47,1.98,1.92,209.07,40.38,0.00,25.72,13.70,52.21,27.26,45.37,20.92,0.00,0.00,16.50,209.07,24.45,1.71,10.17,22.75,10.00,9.65,0.00,9.54,0.44,0.00,93.35,10.36,33.86,1.24,54.62,68.17,49.07,24.99,6.75,3.44,0.25,6.63,11.40,11.73,9.57,430.74,0.01
Jhaveri Credits,531550,,INE865D01012,Finance,Other Financial Services,212.70,0.00,9.49,0.00,91.39,0.00,0.00,110.06,3.56,0.00,0.72,2.43,0.00,0.00,28.77,9.19,0.00,0.43,0.00,110.06,19.58,0.00,8.23,12.10,10.00,4.44,0.00,0.09,0.90,0.93,84.52,1.35,1.48,0.00,1.01,6.84,8.15,6.07,3.18,0.00,0.00,0.47,0.03,0.04,0.08,201.76,0.00
Jindal Drilling,511034,JINDRILL,INE742C01031,Oil,Offshore Support Solution Drilling,457.95,117.41,14.49,0.00,1779.69,164.32,0.00,2593.94,1619.31,0.00,325.39,1228.64,0.03,324.45,780.46,530.81,0.00,0.00,0.00,2593.94,249.65,0.00,56.95,123.32,5.00,89.67,0.00,72.12,2.90,294.10,217.02,551.01,795.52,0.00,77.52,77.44,156.43,-62.24,220.35,399.29,63.08,355.51,650.66,530.60,64.19,1327.16,0.07
Jindal Photo,532624,JINDALPHOT,INE796G01012,Finance,Investment Company,1087.95,62.11,10.26,0.00,1050.13,0.00,0.00,1143.77,4.27,0.00,0.54,3.65,0.00,1083.15,51.33,20.18,26.23,0.00,5.45,1143.77,31.15,0.00,0.00,0.00,10.00,0.01,0.00,0.00,1.03,54.53,32.73,3.73,4.27,0.00,32.68,32.59,37.98,-1143.71,62.64,52.72,66.40,5395.61,3.82,3.92,4.96,1116.07,0.06
Jindal Poly Inve,536773,JPOLYINVST,INE147P01019,Finance,Investment Company,1127.70,23.46,10.51,0.00,1626.17,0.00,26.96,1678.35,0.01,0.00,0.01,0.00,0.00,1677.95,0.36,2.16,1568.26,0.00,0.00,1678.35,-1.80,0.00,0.00,0.00,10.00,0.05,0.00,0.02,1.05,26.96,-1.76,0.00,0.01,0.00,11.30,-370.58,-103.28,23.29,1628.25,472.11,629.59,0.00,5836.05,9.46,9.46,1185.20,0.01
Jindal Saw,500378,JINDALSAW,INE324A01032,Industrial Products,Iron & Steel Products,185.80,5194.12,63.95,34.20,12018.96,3411.68,1413.30,21194.56,13549.52,0.00,4208.51,9544.37,659.54,197.12,10047.76,6565.52,0.00,0.00,4235.84,21194.56,3482.24,216.95,5528.69,3073.75,1.00,204.97,372.62,2125.19,63.95,5761.23,1974.43,8852.90,12595.09,632.20,117.89,-25.34,1118.25,914.70,6031.20,5648.80,6311.27,8102.20,7356.76,7491.23,7120.19,11882.01,0.43
Jindal Stain.,532508,JSL,INE220G01021,Ferrous Metals,Iron & Steel,697.40,6861.97,164.74,0.00,17914.54,6214.22,187.65,39077.58,20454.86,0.00,5654.64,15071.52,3923.13,1382.62,17412.79,15093.78,0.00,4.50,698.62,39077.58,2319.01,134.20,10079.32,3050.61,2.00,2516.91,162.43,10354.59,82.34,6052.26,4394.44,13254.43,18008.36,1112.03,3257.80,-774.30,-564.76,603.99,4007.25,3902.90,5014.81,11289.19,8646.22,6180.58,6342.49,57495.04,0.38
Jindal Steel,532286,JINDALSTEL,INE749A01030,Ferrous Metals,Iron & Steel,1134.25,19155.98,101.75,0.00,49517.12,16091.76,2314.32,91736.93,79869.83,0.00,30881.07,57723.82,12192.92,1796.94,19274.55,19445.50,0.00,0.00,7144.21,91736.93,-170.95,558.75,7868.89,1351.25,1.00,3496.06,939.36,7954.37,102.01,16472.14,1069.02,48383.93,75701.58,9611.43,3574.46,-7289.81,-5140.27,5743.86,13501.64,36824.37,42962.05,42466.28,45487.75,69381.62,68449.51,115703.48,0.39
Jio Financial,543940,JIOFIN,INE758E01017,Finance,Investment Company,230.65,10506.21,6353.14,0.00,128386.11,2986.77,983.23,152451.82,271.20,0.00,91.28,349.85,13.96,135983.75,1239.27,868.42,417.60,65014.61,4.87,152451.82,370.85,0.00,0.00,33.87,10.00,810.06,6.50,86.74,635.33,0.00,11064.46,171.67,240.43,3.43,,,,,,,,,,,,146535.20,0.08
JK Paper,532162,JKPAPER,INE789E01012,"Paper, Forest & Jute Products",Paper & Paper Products,322.25,2117.88,169.40,20.64,5300.09,1693.69,170.81,9786.76,8063.43,0.00,1806.64,6167.01,355.63,805.69,2874.90,1738.16,0.00,92.12,44.52,9786.76,1136.74,150.49,1110.81,404.66,10.00,39.66,20.49,720.17,16.94,2204.20,611.95,5845.54,7324.56,66.12,109.05,20.38,-67.05,-22.87,3136.98,1782.25,1309.53,2104.30,5280.45,3141.67,2654.13,5458.98,0.39
JNK,544167,JNKINDIA,INE0OAF01028,Industrial Manufacturing,Industrial Products,226.00,24.44,11.19,0.00,507.12,4.41,14.24,771.54,41.20,0.00,12.54,27.93,8.00,0.62,692.18,237.65,0.00,0.00,0.26,771.54,454.53,14.01,19.65,263.94,2.00,184.92,31.19,121.69,4.84,65.55,157.13,23.40,33.18,3.48,43.63,13.72,,,14.98,0.39,,,20.08,1.23,,1264.56,0.05
