Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization,Debt to equity
TGV Sraac,507753,,INE284B01028,Chemicals & Petrochemicals,Commodity Chemicals,80.24,305.01,107.09,0.00,1147.77,331.32,25.93,2036.47,2442.87,0.00,1173.66,1265.16,10.28,37.12,646.55,518.68,0.00,12.10,73.38,2036.47,127.87,23.07,152.46,280.38,10.00,109.33,22.40,134.82,10.71,321.43,45.78,1048.41,2138.72,168.26,64.70,6.15,-152.01,-143.96,460.91,419.68,439.48,345.83,902.09,807.73,668.81,859.28,0.24
The Anup Enginee,542460,ANUP,INE294Z01018,Industrial Manufacturing,Industrial Products,1525.25,157.68,20.03,0.00,616.23,13.78,18.64,996.88,465.55,0.00,102.77,386.93,14.60,0.00,593.95,335.93,0.00,10.63,461.41,996.88,258.02,2.82,148.31,350.43,10.00,14.62,141.44,80.72,,,,,,,159.60,108.26,,,0.00,0.00,,,203.11,171.27,,3055.31,0.25
The Bombay Burmah,501425,BBTC,INE050A01025,Food Products,Packaged Foods,1454.00,2463.63,13.95,0.00,6243.91,144.50,1429.99,14193.47,6041.68,0.00,2161.94,3889.19,73.43,5157.89,5536.63,5272.04,0.00,3606.29,233.39,14193.47,264.59,35.71,2263.95,565.35,2.00,989.31,0.00,1926.35,6.98,2161.32,-787.24,3751.34,5621.60,188.80,3019.77,-141.60,641.83,-100.67,5880.36,2045.07,1023.54,883.19,2762.81,2889.22,2372.58,10144.83,0.39
The Hi-Tech Gear,522073,HITECHGEAR,INE127B01011,Auto Components,Auto Components & Equipments,590.00,180.68,18.79,0.00,479.97,63.54,138.65,812.78,1171.06,0.00,725.60,437.77,5.89,0.66,358.40,188.67,0.00,0.16,2.96,812.78,169.73,121.69,128.88,169.91,10.00,30.40,2.44,80.50,1.88,298.46,122.17,462.38,1133.29,3.67,68.04,84.51,91.06,,470.56,352.29,365.61,,527.96,445.85,423.11,1110.00,0.36
The Peria Karamalai Tea,,PKTEA,INE431F01018,Agricultural Food & other Products,Tea & Coffee,805.00,44.89,3.10,0.00,215.10,17.74,28.52,279.95,72.23,0.00,46.09,25.36,3.26,229.76,79.56,52.01,0.00,1.94,0.00,279.95,27.55,0.33,12.25,2.82,10.00,1.74,0.00,9.77,0.31,21.53,11.73,28.00,71.95,0.87,47.41,15.25,2.83,16.51,50.99,26.21,22.13,6.25,32.00,36.40,38.09,249.22,0.21
Thejo Engg.,,THEJO,INE121N01019,Industrial Manufacturing,Industrial Products,1523.00,39.01,10.85,0.00,311.95,3.35,26.63,491.81,172.02,0.00,69.36,148.37,3.17,0.00,320.17,109.54,0.00,0.00,23.54,491.81,210.63,36.09,74.52,137.11,10.00,76.23,2.72,41.12,1.08,42.51,194.23,108.41,159.25,2.24,147.84,89.25,41.53,23.02,38.13,35.74,33.50,36.93,66.25,31.77,32.16,1652.03,0.12
Themis Medicare,530199,THEMISMED,INE083B01024,Pharmaceuticals & Biotechnology,Pharmaceuticals,72.39,95.57,9.21,0.00,370.80,56.93,26.06,582.50,249.48,32.97,77.12,168.91,3.39,96.40,299.00,173.92,0.00,711.62,25.85,582.50,125.08,0.00,76.45,173.43,1.00,12.75,0.35,46.75,9.20,95.79,140.19,168.37,236.21,2.60,104.64,25.68,18.10,-2.14,79.73,99.94,80.00,140.19,144.00,116.31,125.90,666.71,0.25
Thomas Cook (I),500413,THOMASCOOK,INE332A01027,Leisure Services,"Tour, Travel Related Services",97.65,508.48,47.04,0.00,2315.99,143.95,321.19,7484.11,3748.22,594.20,939.38,2922.01,8.43,197.93,3656.41,4162.64,0.00,114.62,393.03,7484.11,-506.23,241.06,37.70,808.87,1.00,991.82,753.81,2813.57,47.04,417.79,-597.12,2769.95,3624.49,59.57,-669.42,-401.18,-67.91,146.96,598.13,761.73,424.71,380.08,2579.58,2707.27,1722.80,4593.22,0.22
Thomas Scott,533941,THOMASCOTT,INE480M01011,Textiles & Apparels,Garments & Apparels,258.00,26.65,14.67,0.00,111.51,13.23,0.25,179.44,17.00,0.00,5.26,12.21,0.70,0.00,162.57,50.95,0.00,0.00,0.00,179.44,111.62,0.00,77.08,71.49,10.00,0.33,0.06,17.52,0.98,5.90,43.13,7.87,10.91,0.25,7.91,2.55,6.80,8.59,0.03,6.33,4.01,0.00,1.95,1.30,0.09,378.49,0.21
Thyrocare Tech.,539871,THYROCARE,INE594H01019,Healthcare Services,Healthcare Service Provider,350.50,24.68,159.16,0.00,481.22,0.00,24.68,680.21,542.68,0.00,245.47,301.19,3.05,145.89,323.56,122.07,0.00,137.36,2.26,680.21,201.49,24.68,37.92,75.49,10.00,70.80,0.00,66.01,15.89,42.34,51.28,305.88,501.11,2.55,80.29,1.27,22.00,19.08,20.70,12.44,0.00,0.00,284.95,269.09,298.75,5578.74,0.05
Tilaknagar Inds.,507205,TI,INE133E01013,Beverages,Breweries & Distilleries,418.85,48.68,247.17,0.00,1783.04,0.37,43.81,2329.52,863.31,0.00,493.71,356.03,40.27,32.01,1838.07,290.80,0.00,0.00,26.84,2329.52,1547.27,1.44,173.12,458.03,10.00,1124.27,0.58,147.79,19.27,121.44,331.91,396.33,859.97,0.28,-19.22,17.98,-854.80,51.20,585.18,578.61,1031.49,825.02,439.28,501.72,587.48,10352.73,0.02
Time Technoplast,532856,TIMETECHNO,INE508G01029,Industrial Products,Plastic Products - Industrial,156.75,684.26,49.36,0.00,2997.99,646.51,85.51,4516.26,3283.14,0.00,1910.41,1419.19,60.20,4.37,2948.40,1019.08,0.00,0.00,31.96,4516.26,1929.32,82.86,1154.89,1224.72,1.00,189.23,0.00,465.55,45.39,829.32,1428.52,1368.31,3116.60,41.18,1076.30,876.64,596.17,194.56,905.90,890.13,776.95,804.37,1313.62,1349.43,1199.71,7737.73,0.22
Timex Group,500414,,INE064A01026,Consumer Durables,"Gems, Jewellery And Watches",275.05,12.58,10.10,88.09,109.26,3.78,8.66,336.22,22.74,0.00,10.58,12.69,0.00,43.10,312.69,166.84,0.00,0.00,9.91,336.22,145.85,7.24,174.94,65.00,1.00,9.10,0.97,101.85,10.10,86.14,80.10,14.89,24.39,0.00,16.02,15.72,9.85,-26.02,111.19,109.36,104.39,68.79,17.29,22.57,7.30,2776.61,0.11
Tinna Rubber,530475,TINNARUBR,INE015C01016,Industrial Products,Rubber,607.25,104.50,18.02,0.00,253.83,129.20,5.67,456.98,262.66,0.00,77.19,195.21,23.65,37.00,168.19,130.17,0.00,0.00,23.16,456.98,38.02,0.84,76.17,51.32,10.00,9.56,0.45,51.97,1.71,85.99,7.39,129.81,198.16,6.64,5.80,-13.42,-7.79,-0.95,70.78,71.82,82.68,137.22,76.95,77.39,77.02,1093.99,0.38
Tips Music,532375,TIPSMUSIC,INE716B01029,Entertainment,Media & Entertainment,497.20,2.74,12.78,0.00,244.53,0.00,3.45,370.45,16.34,0.00,9.77,6.35,0.61,164.22,348.63,105.65,0.00,95.49,2.32,370.45,242.98,2.74,0.00,29.84,1.00,11.49,77.99,14.43,12.84,5.01,100.93,7.95,18.10,0.02,112.43,58.04,42.60,122.88,0.00,1.89,35.76,105.74,6.51,14.63,23.30,6355.78,0.01
Tirupati Forge,,TIRUPATIFL,INE319Y01024,Industrial Products,Castings & Forgings,44.70,25.46,24.86,0.00,94.96,17.68,8.52,166.66,53.01,0.00,15.95,54.87,16.21,0.00,90.73,30.23,0.00,0.00,1.00,166.66,60.50,7.78,26.30,21.57,2.00,19.98,0.02,15.52,10.37,13.13,25.32,19.21,32.19,7.68,14.38,6.29,6.09,3.02,11.05,4.57,0.39,6.36,14.46,13.04,4.33,561.10,0.21
Titagarh Rail,532966,TITAGARH,INE615H01020,Industrial Manufacturing,Railway Wagons,609.55,637.22,26.93,0.00,2511.40,529.34,97.67,3800.86,1153.11,0.00,161.31,1216.50,128.47,309.56,2028.01,1098.07,246.82,0.00,186.45,3800.86,929.94,93.28,648.73,516.55,2.00,260.14,0.00,213.79,13.47,165.72,1256.77,748.23,912.52,173.56,235.16,519.33,83.22,261.56,919.79,729.74,623.98,124.95,965.84,871.62,957.50,8209.06,0.25
Titan Biotech,524717,,INE150C01029,Chemicals & Petrochemicals,Specialty Chemicals,392.60,8.85,8.26,0.00,158.15,1.73,1.07,202.49,80.75,0.00,23.48,56.60,3.51,47.87,89.84,32.29,0.00,0.00,7.78,202.49,57.55,0.77,45.62,29.64,2.00,3.60,2.47,6.08,4.13,8.30,53.05,52.01,71.33,2.55,46.81,23.77,18.26,10.79,8.93,23.88,25.78,7.71,34.99,31.16,13.68,1622.17,0.05
Tolins Tyres,544254,TOLINS,INE0RWQ01014,Auto Components,Tyres & Rubber Products,96.00,15.71,19.75,0.00,321.17,16.57,0.18,387.73,83.33,0.00,31.25,50.33,10.26,0.00,325.40,45.26,0.00,0.00,1.21,387.73,280.14,0.00,162.88,116.83,5.00,39.37,1.61,19.18,3.07,78.77,48.13,50.37,78.48,10.18,,,,,,,,,,,,379.29,0.05
TPL Plastech,526582,TPLPLASTEH,INE413G01022,Industrial Products,Packaging,59.29,21.85,15.60,0.00,136.53,40.06,5.68,249.81,124.76,0.00,32.00,93.50,6.20,1.17,146.64,83.79,0.00,0.00,1.72,249.81,62.85,1.75,60.69,60.86,2.00,5.67,0.18,59.67,7.80,30.56,67.22,83.84,111.97,1.23,47.57,29.44,20.51,8.65,19.85,39.09,55.67,41.85,59.53,61.33,65.82,462.47,0.14
Transpek Inds.,506687,,INE687A01016,Chemicals & Petrochemicals,Commodity Chemicals,986.00,40.82,5.59,0.00,762.35,8.77,85.69,999.86,528.31,0.00,168.48,341.73,12.75,335.37,290.41,98.86,0.00,0.00,9.50,999.86,191.55,15.56,71.85,92.90,10.00,99.64,0.00,61.40,0.56,122.84,101.13,397.30,530.06,6.14,78.30,94.44,-6.22,11.47,137.04,116.42,203.04,77.42,294.57,286.67,178.61,550.74,0.05
Transport Corp.,532349,TCI,INE688A01022,Transport Services,Logistics Solution Provider,918.00,252.90,15.30,0.00,2375.30,155.25,86.61,3078.00,1748.97,0.00,785.28,1100.40,268.00,491.70,1373.40,423.70,171.14,0.00,37.39,3078.00,949.70,81.10,4.60,711.00,2.00,79.20,0.00,110.40,7.77,193.68,675.79,861.78,1540.34,108.96,514.52,236.93,128.60,152.58,96.23,422.05,439.63,319.78,801.35,771.72,625.80,7045.08,0.11
Transrail Light,544317,TRANSRAILL,INE454P01035,Electrical Equipment,Heavy Electrical Equipment,485.55,809.67,26.84,0.00,2043.67,78.24,582.35,6766.94,765.16,0.00,340.27,491.83,46.57,0.55,6030.00,4545.91,0.00,0.50,268.73,6766.94,1484.09,19.66,798.02,1474.62,2.00,483.70,1019.05,2494.38,12.40,667.35,805.35,373.93,660.88,5.78,390.81,223.06,,,476.52,346.39,,,334.21,321.31,,6518.80,0.39
Transteel Seatin,,TRANSTEEL,INE0NVI01020,Consumer Durables,"Furniture, Home Furnishing",142.30,34.35,20.18,0.00,98.15,0.80,36.91,228.49,29.68,0.00,5.65,17.45,0.00,6.40,176.98,95.99,0.00,0.00,6.24,228.49,80.99,0.00,27.24,80.85,10.00,1.58,0.79,60.57,2.02,35.33,50.88,10.65,14.96,0.00,-6.48,,,,13.27,,,,4.06,,,314.37,0.29
