Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Average 5years dividend,Exports percentage 5Years back,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 7Years,Return on equity 5years growth,Average return on equity 10Years,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Debtor days 3years back,Average debtor days 3years,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 5Years,Historical PE 7Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Is not SME,Market Capitalization,Debt to equity
Canara Robeco,544580,CRAMC,INE218I01013,Capital Markets,Asset Management Company,229.65,,,,,,25.92,,43.97,41.04,41.04,41.04,,,,58.72,,,22.24,37.56,39.83,,,30.12,30.06,30.06,30.06,30.06,,,,,-2.88,,,1,4579.60,0.03
Capacit'e Infra.,540710,CAPACITE,INE264T01014,Construction,Civil Construction,212.65,5.34,3.56,5.02,2.21,,0.00,,16.98,13.50,14.36,19.77,8.84,4.08,10.28,17.18,16.40,70029.00,0.00,107.52,113.95,91.95,3.30,4.79,16.20,16.73,16.12,15.60,743.41,498.32,2054.06,,130.40,7.84,-3.27,1,1799.12,0.23
Capillary Tech.,544614,CAPILLARY,INE0ILV01024,IT - Software,Software Products,494.05,,,,,69.79,0.00,68.54,-15.19,-28.34,-28.34,-28.34,,,,-4.06,,,0.00,93.17,96.72,,,-11.24,322.46,322.46,322.46,322.46,,,,,-76.80,,,1,3923.14,0.18
Caplin Point Lab,524742,CAPLIPOINT,INE475E01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,1572.95,2.85,2.34,9.18,9.00,94.05,34.15,97.64,26.21,26.95,30.36,40.60,25.54,-4.64,27.02,31.89,32.07,92702.00,8.63,91.16,111.38,96.81,19.19,18.76,25.21,21.93,22.24,19.40,5140.00,2136.15,4306.00,328.78,161.65,4.34,0.93,1,11956.28,0.00
Captain Polyplas,536974,,INE536P01021,Industrial Products,Plastic Products - Industrial,63.25,3.94,3.58,3.86,4.93,1.79,0.08,,15.72,14.55,16.65,19.56,15.44,-10.56,15.75,10.46,11.41,22611.00,0.00,213.69,215.27,185.72,4.49,5.62,20.17,22.56,21.70,20.13,90.93,125.95,151.20,40.32,125.01,0.00,0.00,1,380.65,0.48
Captain Techno.,540652,,INE931X01010,Industrial Manufacturing,Industrial Products,177.00,5.40,6.30,,,18.70,0.12,30.07,22.37,20.23,20.23,20.23,,12.70,,10.61,,348.00,2.33,137.63,93.66,112.90,9.16,10.47,62.15,50.79,51.60,50.79,34.68,15.67,30.23,,48.89,0.00,0.00,0,411.00,0.48
Carborundum Uni.,513375,CARBORUNIV,INE120A01034,Industrial Products,Abrasives & Bearings,749.60,2.71,2.60,2.75,2.43,22.59,68.42,21.80,18.64,19.01,19.16,18.86,14.29,-6.32,14.18,15.44,15.67,69300.00,19.52,53.22,53.02,56.40,11.26,10.80,58.32,37.82,52.19,47.09,15145.82,4204.95,6564.32,3579.16,79.88,1.90,1.83,1,14279.32,0.08
CARE Ratings,534804,CARERATING,INE752H01013,Capital Markets,Ratings,1480.90,,,,,0.90,56.47,0.68,21.27,20.10,22.10,28.60,15.99,3.45,19.37,35.93,45.95,52007.00,60.53,24.53,26.84,61.26,12.97,13.24,31.47,24.64,27.96,22.10,1513.31,964.41,3560.98,4290.56,560.17,5.01,6.24,1,4449.65,0.03
Career Point Edu,544499,CPEDU,INE0P6P01016,Other Consumer Services,Education,160.50,,,,,,,,48.34,48.34,48.34,48.34,,,,,,,,,16.50,,,,0.92,0.92,0.92,0.92,,,,,281.84,,,1,291.99,0.01
Carraro India,544320,CARRARO,INE0V7W01012,Auto Components,Auto Components & Equipments,424.80,5.49,4.49,,,36.89,10.57,38.05,18.77,14.00,14.00,14.00,,33.22,,6.65,,151011.00,25.67,60.88,57.03,70.92,4.09,6.05,32.14,32.14,32.14,32.14,,,,,20.36,,,1,2415.07,0.34
Cartrade Tech,543333,CARTRADE,INE290S01011,Retailing,E-Retail/ E-Commerce,1695.30,7.71,3.65,,,3.14,0.00,,4.98,2.50,2.43,1.42,1.34,38.91,,8.37,,227256.00,0.00,48.39,51.92,57.13,1.61,2.59,62.20,59.23,59.23,59.23,2702.25,,,,-11.15,-7.89,4.60,1,8116.78,0.06
Carysil,524091,CARYSIL,INE482D01024,Consumer Durables,Household Appliances,758.90,2.44,2.28,2.38,2.19,78.89,5.85,76.37,16.79,19.95,18.89,17.84,18.45,-0.74,17.45,19.13,18.32,59880.00,10.05,75.71,67.41,82.28,9.52,7.63,35.68,29.54,34.42,29.46,2214.74,149.36,268.84,254.20,30.72,1.28,4.90,1,2158.51,0.42
Castrol India,500870,CASTROLIND,INE172A01027,Petroleum Products,Lubricants,180.30,4.88,4.81,4.61,4.74,1.51,905.04,1.51,57.38,60.05,63.97,78.62,46.64,1.81,51.36,23.89,25.84,506992.00,120.83,26.78,30.13,21.98,27.49,26.54,21.23,20.62,18.65,18.22,12181.04,12171.15,14960.48,21827.46,-8.95,-1.71,-1.99,1,17833.88,0.03
Ceinsys Tech,538734,CEINSYS,INE016Q01014,IT - Software,Computers - Software & Consulting,898.20,11.11,3.18,2.81,0.82,1.08,3.85,0.85,21.41,16.97,17.45,16.47,15.22,-6.79,14.46,15.56,16.43,22524.00,10.44,152.74,205.29,204.64,7.83,11.65,21.30,20.64,20.60,19.23,247.60,92.27,190.09,52.73,118.70,10.06,-6.85,1,1880.61,0.16
Cello World,544012,CELLO,INE0LMW01024,Consumer Durables,Houseware,408.00,1.86,,,,,13.00,,36.04,40.33,40.33,40.33,,,,24.58,,117627.00,6.47,109.22,105.91,,,18.57,44.31,44.31,44.31,44.31,,,,,127.23,,,1,9012.12,0.00
Cemindia Project,509496,CEMPRO,INE686A01026,Construction,Civil Construction,521.30,3.82,2.99,6.48,0.77,0.08,17.25,0.31,24.51,19.58,18.91,18.93,12.08,25.10,12.04,8.86,9.09,107317.00,10.09,59.59,66.40,74.66,3.21,4.55,27.40,26.78,26.14,25.97,1083.98,511.07,3381.67,764.83,-21.42,-5.11,-4.14,1,8955.24,0.48
Century Enka,500280,CENTENKA,INE485A01015,Textiles & Apparels,Other Textile Products,404.30,6.15,4.07,6.37,4.85,4.13,20.98,2.89,6.01,9.16,9.45,10.30,7.14,-14.17,7.40,7.93,8.68,39563.00,34.78,41.64,37.13,39.07,5.64,3.61,17.10,8.79,13.95,10.16,1213.15,260.02,658.47,326.78,64.52,-1.50,5.83,1,883.40,0.03
CFF Fluid,543920,,INE0NJ001013,Aerospace & Defense,Aerospace & Defense,550.00,1.55,0.53,,,0.00,0.78,,26.83,25.37,25.37,25.37,,-3.14,,27.40,,3508.00,6.52,102.07,73.91,41.00,11.47,13.65,53.59,53.59,53.59,53.59,,,,,225.96,,,0,1153.57,0.02
CG Power & Ind,500093,CGPOWER,INE067A01029,Electrical Equipment,Heavy Electrical Equipment,659.05,8.36,4.92,4.36,3.88,5.93,125.28,7.98,48.47,39.16,27.68,19.36,,15.52,,12.67,7.13,470500.00,19.37,62.81,70.50,37.30,15.14,20.72,97.26,78.06,78.06,78.06,27315.72,316.48,4863.19,3155.43,9.28,-0.94,9.20,1,103794.93,0.02
Chamanlal Setia,530307,CLSEL,INE419D01026,Agricultural Food & other Products,Other Agricultural Products,225.40,2.34,2.65,3.55,5.87,,6.43,,21.05,22.39,22.09,26.82,18.68,-7.53,19.93,11.21,10.85,28702.00,8.85,67.89,50.01,46.11,13.66,13.18,11.81,9.09,9.07,8.47,505.18,177.96,720.39,66.92,138.18,2.74,1.60,1,1120.83,0.09
Chambal Fert.,500085,CHAMBLFERT,INE085A01013,Fertilizers & Agrochemicals,Fertilizers,420.05,6.45,9.34,7.41,8.79,0.19,327.52,0.21,21.01,21.36,18.97,16.54,22.70,-11.04,21.91,12.18,11.96,242854.00,26.01,48.87,11.70,166.36,11.38,10.52,12.44,11.23,11.09,10.19,17568.14,4513.77,6852.86,2811.48,12.62,6.91,-8.74,1,16829.39,0.01
Chandan Healthca,,CHANDAN,INE0B2N01016,Healthcare Services,Healthcare Service Provider,251.50,,,,,,,,27.18,27.18,27.18,27.18,,,,,,,0.00,87.62,65.46,,,11.06,25.50,25.50,25.50,25.50,,,,,17.85,,,0,614.97,0.48
Chembond Chemic.,544450,CHEMBONDCH,INE0TGX01019,Chemicals & Petrochemicals,Specialty Chemicals,124.00,,,,,,,,18.42,18.42,18.42,18.42,,,,,,,9.05,93.74,106.76,,,10.69,,,,,,,,,84.76,,,1,333.52,0.00
Chemcon Special.,543233,CHEMCON,INE03YM01018,Chemicals & Petrochemicals,Specialty Chemicals,141.00,2.85,2.43,5.65,8.29,22.20,2.93,10.13,9.37,15.58,26.59,29.77,13.91,-34.08,14.79,22.97,22.60,72426.00,8.86,145.50,94.81,123.90,10.05,6.11,31.19,28.68,28.74,28.68,976.76,,,,160.44,0.31,-0.27,1,516.50,0.00
Chemfab Alka.,541269,CHEMFAB,INE783X01023,Chemicals & Petrochemicals,Commodity Chemicals,346.00,15.86,12.87,,,0.46,1.42,0.36,13.90,11.30,11.30,11.30,,-25.15,,20.07,,12430.00,-5.45,28.81,23.42,17.03,6.20,8.34,73.36,14.53,24.86,14.53,353.84,141.02,,,4.00,-0.23,0.15,1,497.33,0.29
Cheviot Company,526817,CHEVIOT,INE974B01016,"Paper, Forest & Jute Products",Jute & Jute Products,971.20,4.07,2.90,3.04,3.79,41.23,33.61,41.55,11.76,13.08,12.61,12.81,9.86,-0.74,9.87,12.42,12.68,22414.00,13.08,31.62,22.99,27.25,9.56,8.53,11.45,10.18,11.10,10.00,679.46,328.10,593.99,152.86,84.70,0.00,0.00,1,567.37,0.01
Choice Intl.,531358,CHOICEIN,INE102B01014,Finance,Holding Company,585.60,0.04,0.03,0.03,9.69,,0.00,,20.19,17.51,15.34,14.86,15.99,24.96,15.39,30.02,28.58,23768.00,0.00,104.42,102.20,251.49,6.32,7.37,66.08,29.04,55.66,45.52,1135.89,159.20,261.60,30.45,199.21,-1.93,0.30,1,13045.80,0.40
CIE Automotive,532756,CIEINDIA,INE536H01010,Auto Components,Auto Components & Equipments,446.90,4.10,3.15,3.62,3.14,6.38,182.08,7.98,16.55,15.02,12.88,12.42,9.25,42.17,9.44,14.48,13.08,126309.00,27.00,35.89,24.69,42.56,6.25,9.32,22.34,24.21,21.73,21.30,13052.31,6518.98,9734.67,8118.97,-0.44,-2.97,14.17,1,16953.70,0.06
Cigniti Tech.,534758,CIGNITITEC,INE675C01017,IT - Services,IT Enabled Services,1055.00,,,,,100.00,7.44,100.00,34.47,33.23,42.57,34.88,33.33,-14.91,,13.44,12.60,25470.00,4.62,66.66,64.90,68.82,19.02,19.79,17.52,15.11,16.09,14.58,1205.56,526.43,636.23,1066.38,54.85,10.01,9.30,1,2906.20,0.02
Cipla,500087,CIPLA,INE059A01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,1241.60,1.76,1.69,1.53,1.41,54.20,766.88,54.09,21.18,19.61,17.21,14.96,14.02,13.40,13.15,23.29,21.34,525114.00,24.82,57.43,68.53,82.91,11.70,12.89,26.92,29.77,28.25,28.61,82137.70,34091.66,43915.23,57206.91,120.32,-4.46,9.58,1,100294.31,0.01
