Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Average 5years dividend,Exports percentage 5Years back,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 7Years,Return on equity 5years growth,Average return on equity 10Years,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Debtor days 3years back,Average debtor days 3years,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 5Years,Historical PE 7Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Is not SME,Market Capitalization,Debt to equity
Insolation Ener,543620,INA,INE0LGX01024,Power,Power Generation,98.30,,,,,,,,34.06,34.06,34.06,34.06,,,,,,3868.00,0.58,27.98,30.98,,,19.42,55.77,47.96,47.96,47.96,,,,,12.91,1.01,0.62,1,2166.45,0.37
Integra Engg.,505358,,INE984B01023,Industrial Manufacturing,Industrial Products,131.00,2.96,3.05,3.75,2.35,0.82,0.00,1.14,24.37,21.94,22.13,19.03,25.61,-0.53,24.76,16.33,14.59,28622.00,0.00,159.44,102.38,136.90,12.11,14.21,43.84,37.91,37.42,31.63,242.63,67.29,179.27,65.24,79.88,0.38,0.15,1,450.98,0.32
Intellect Design,538835,INTELLECT,INE306R01017,IT - Software,Computers - Software & Consulting,644.35,,,,,60.61,42.53,75.60,18.63,20.39,16.99,11.64,14.38,90.39,12.14,22.11,15.84,111649.00,18.94,49.98,71.40,77.16,11.54,9.79,36.58,34.00,33.10,33.47,12725.41,719.92,2075.00,1235.17,78.75,4.40,2.67,1,9000.11,0.03
Interarch Build.,544232,INTERARCH,INE00M901018,Construction,Civil Construction,1679.60,4.92,3.46,,,,4.16,,28.16,19.77,20.00,20.00,14.64,-0.60,,8.04,,65748.00,6.43,37.46,50.90,48.64,8.35,12.31,28.27,28.27,28.27,28.27,,,,,33.94,,,1,2817.02,0.01
International Ge,544311,IGIL,INE0Q9301021,Commercial Services & Supplies,Diversified Commercial Services,326.25,,,,,6.47,,,73.47,73.47,73.47,73.47,,,,,,187356.00,8.23,46.87,62.63,,,45.79,29.63,29.63,29.63,29.63,,,,,89.17,,,1,14099.19,0.10
Intl. Conveyors,509709,INTLCONV,INE575C01027,Industrial Manufacturing,Industrial Products,69.23,4.88,3.97,4.79,2.64,84.81,6.47,90.59,22.15,18.96,14.94,11.38,14.83,33.58,11.62,12.76,9.84,44223.00,13.71,44.79,44.30,107.46,11.19,14.08,7.99,17.77,14.27,15.49,560.59,136.69,159.64,172.12,75.80,0.32,0.52,1,441.56,0.30
Intl. Travel Hse,500213,,INE262B01016,Leisure Services,"Tour, Travel Related Services",290.15,,,,,0.69,2.24,,21.23,3.74,2.22,4.38,1.59,39.79,2.86,6.38,7.61,12039.00,14.60,183.95,113.25,180.16,1.39,13.94,14.36,17.33,14.90,15.59,93.90,36.22,146.90,200.18,32.59,0.00,0.00,1,231.96,0.01
Inventurus Knowl,544309,IKS,INE115Q01022,IT - Services,IT Enabled Services,1317.95,,,,,,220.80,100.00,35.65,40.21,40.21,40.21,,-7.49,,32.02,,67583.00,18.39,45.68,67.47,51.45,28.35,24.34,50.67,50.67,50.67,50.67,,,,,-14.82,,,1,22624.35,0.34
IOL Chemicals,524164,IOLCP,INE485C01029,Pharmaceuticals & Biotechnology,Pharmaceuticals,72.34,4.68,4.78,5.61,2.09,22.15,27.01,26.80,11.61,21.42,32.94,26.10,19.93,-35.77,18.49,14.28,16.84,126701.00,20.57,78.51,84.67,52.49,11.93,5.92,18.85,16.13,16.54,13.37,2076.22,1000.52,447.35,136.31,67.07,-0.29,-0.13,1,2123.40,0.09
ION Exchange,500214,IONEXCHANG,INE570A01022,Other Utilities,Water Supply & Management,322.90,6.28,6.93,6.48,7.18,28.22,17.79,40.71,27.87,31.96,32.59,30.26,24.60,-9.10,23.76,12.41,10.93,119037.00,10.07,117.52,141.45,123.79,9.67,9.18,37.17,24.16,27.99,22.69,2439.91,883.72,730.13,377.78,18.00,3.91,2.74,1,4735.85,0.33
Ipca Labs.,524494,IPCALAB,INE571A01038,Pharmaceuticals & Biotechnology,Pharmaceuticals,1506.25,1.31,1.33,1.45,1.36,48.62,101.48,54.92,12.88,17.90,17.86,14.83,14.60,-6.33,13.31,20.22,18.73,90189.00,17.94,57.35,71.80,70.74,10.48,6.45,46.75,37.62,37.97,35.76,27038.53,17591.21,8274.43,8024.55,94.45,0.16,3.28,1,38214.20,0.17
IRIS Regtech Solutions,540735,IRIS,INE864K01010,IT - Software,Software Products,226.35,,,,,55.13,0.00,57.38,24.81,19.65,13.57,4.75,11.21,63.25,0.26,14.84,9.80,7893.00,0.00,93.23,96.17,125.10,8.10,10.54,50.05,54.43,54.14,54.43,193.62,33.60,84.86,,42.43,1.73,12.90,1,465.55,0.01
IRM Energy,544004,IRMENERGY,INE07U701015,Gas,LPG/CNG/PNG/LNG Supplier,192.20,202.77,109.92,,,,2.77,,13.68,22.53,22.45,22.45,17.81,-34.53,,17.48,,64351.00,7.74,16.34,15.29,9.30,12.13,6.84,23.73,23.73,23.73,23.73,,,,,-35.05,,,1,789.16,0.08
ISGEC Heavy,533033,ISGEC,INE858B01029,Construction,Civil Construction,862.25,2.66,2.84,3.08,3.32,12.82,24.99,12.82,12.90,12.07,12.35,14.67,9.17,1.65,10.47,8.08,7.76,28925.00,12.68,142.82,164.57,111.27,3.09,3.22,26.90,24.34,26.96,24.49,3774.27,1877.58,4782.06,4134.37,64.27,0.79,3.33,1,6340.06,0.33
IST,508807,,INE684B01029,Auto Components,Auto Components & Equipments,616.75,2.24,1.93,0.89,0.65,0.07,0.00,,12.56,13.42,14.22,15.42,10.32,-0.70,11.49,70.01,71.92,11301.00,0.00,35.21,23.28,27.16,9.26,8.87,7.62,6.44,6.77,6.30,542.91,326.59,523.98,280.39,191.46,0.00,1.10,1,719.39,0.00
ITC,500875,ITC,INE154A01025,Diversified FMCG,Diversified FMCG,294.40,2.57,2.16,2.37,1.60,16.54,16358.27,13.05,37.39,34.81,34.40,35.05,25.49,1.93,25.00,35.31,36.33,3710169.00,78.65,14.82,19.91,18.94,21.39,22.89,26.11,25.61,24.73,23.15,289548.26,197842.96,292292.99,244830.46,34.43,-6.88,6.71,1,368867.55,0.01
ITC Hotels,544325,ITCHOTELS,INE379A01028,Leisure Services,Hotels & Resorts,144.00,,,,,,,,9.63,9.63,9.63,9.63,,,,,,,,,22.20,,,,65.69,65.69,65.69,65.69,,,,,47.94,,,1,29994.85,0.01
ITCONS E-Soluti.,543806,,INE0O6A01019,Commercial Services & Supplies,Diversified Commercial Services,264.85,,,,,,0.02,,23.29,27.97,27.97,27.97,,2.47,,8.48,,536.00,0.86,55.81,122.14,61.71,14.49,12.74,48.95,48.22,48.22,48.22,,,,,62.76,,,0,238.59,0.20
Ivalue Infosolut,544523,IVALUE,INE056801025,IT - Services,IT Enabled Services,226.05,40.99,19.38,,,11.97,0.00,13.09,27.38,26.93,26.93,26.93,,3.99,,8.91,,,0.00,119.79,324.97,101.22,7.43,7.28,13.65,13.65,13.65,13.65,,,,,79.64,,,1,1234.91,0.19
IZMO,532341,IZMO,INE848A01014,IT - Services,IT Enabled Services,690.00,21.00,49.20,35.67,30.00,98.49,0.00,97.12,8.52,8.86,7.83,6.24,7.44,5.29,6.19,19.88,20.61,22942.00,0.00,101.23,113.29,164.88,6.92,6.62,14.45,9.92,10.16,7.24,111.08,14.77,123.67,51.06,65.56,2.03,0.51,1,1032.42,0.02
J Kumar Infra,532940,JKIL,INE576I01022,Construction,Civil Construction,476.25,7.07,5.50,2.02,1.74,0.01,23.45,4.74,18.60,15.75,15.50,15.02,11.03,5.67,10.60,14.10,14.60,74078.00,8.87,91.89,94.58,79.22,5.72,7.14,13.46,11.99,11.55,10.59,1262.86,569.38,2053.56,2202.87,62.11,2.88,2.22,1,3603.60,0.24
J.G.Chemicals,544138,JGCHEM,INE0MB501011,Chemicals & Petrochemicals,Commodity Chemicals,318.75,7.53,7.69,,,,0.78,,21.33,23.86,23.86,23.86,,-0.92,,9.24,,47526.00,2.04,56.64,59.68,45.77,15.17,14.19,23.13,23.13,23.13,23.13,,,,,99.13,,,1,1249.06,0.01
Jagran Prakashan,532705,JAGRAN,INE199G01027,Media,Print Media,60.00,6.67,2.82,6.63,8.36,1.92,65.30,2.11,7.77,7.84,9.74,13.12,8.90,-14.21,11.06,14.83,20.56,56347.00,67.51,97.51,89.23,98.03,4.28,4.14,10.88,12.00,10.09,9.93,1712.43,1280.87,5382.75,4208.99,19.14,-0.89,-3.63,1,1305.90,0.10
Jagsonpal Pharma,507789,JAGSNPHARM,INE048B01035,Pharmaceuticals & Biotechnology,Pharmaceuticals,182.25,3.01,2.75,1.77,1.68,2.50,11.20,3.85,21.76,20.73,17.37,12.21,14.34,20.47,10.23,13.66,9.53,18471.00,45.96,26.14,23.08,49.37,13.00,14.29,37.17,31.06,36.24,32.37,821.50,45.98,70.48,72.84,31.79,2.01,-0.62,1,1220.39,0.03
Jai Balaji Inds.,532976,JAIBALAJI,INE091G01026,Ferrous Metals,Iron & Steel,60.90,4.81,3.46,5.21,2.14,4.67,0.00,1.77,38.90,25.33,17.79,9.84,,,,9.24,5.65,25114.00,0.00,12.27,17.38,35.64,9.49,16.11,19.37,16.91,16.91,16.91,484.37,182.26,115.17,81.16,-4.27,3.70,0.12,1,5555.82,0.21
Jai Corp,512237,JAICORPLTD,INE070D01027,Industrial Products,Plastic Products - Industrial,98.30,2.34,1.48,2.03,1.88,13.99,8.90,12.26,3.79,3.87,3.83,3.74,0.50,12.06,0.46,8.93,10.08,87034.00,-11.80,32.53,36.69,47.81,0.28,-1.25,91.26,89.53,43.70,51.03,1950.45,901.17,2385.87,998.42,217.32,-0.07,-0.03,1,1725.22,0.00
Jainam Ferro,,JAINAM,INE02KC01010,Ferrous Metals,Ferro & Silica Manganese,181.05,5.65,5.18,,,0.00,0.00,0.00,21.96,34.73,31.26,31.26,19.00,14.94,,9.70,,503.00,0.00,16.20,29.77,21.40,15.07,10.95,22.98,20.44,20.44,20.44,158.58,,,,33.39,0.00,0.00,0,212.03,0.01
Jamna Auto Inds.,520051,JAMNAAUTO,INE039C01032,Auto Components,Auto Components & Equipments,114.30,4.72,4.28,7.70,7.90,1.44,68.97,0.91,25.71,23.53,25.95,32.49,20.43,15.25,22.62,12.81,12.99,256437.00,46.01,61.31,21.75,25.89,13.16,14.93,23.63,23.71,25.12,24.64,3966.30,948.34,3127.94,959.68,20.87,-1.27,-6.38,1,4568.70,0.01
Jaro Institute,544534,JARO,INE00YJ01010,Other Consumer Services,E-Learning,456.85,,,,,,0.40,,36.63,27.28,27.28,27.28,,23.38,,26.28,,,1.31,35.25,31.51,113.56,12.72,17.61,21.18,21.18,21.18,21.18,,,,,155.14,,,1,1013.14,0.13
Jasch Gauging,544112,,INE0QXV01014,Industrial Manufacturing,Industrial Products,471.20,,,,,,,,42.99,42.99,42.99,42.99,,,,,,7946.00,10.07,,25.08,,,26.42,16.97,16.97,16.97,16.97,,,,,-5.86,,,1,213.54,0.00
Jash Engineering,544402,JASH,INE039O01029,Industrial Manufacturing,Industrial Products,355.80,2.46,2.01,2.20,1.64,40.31,7.35,44.08,24.19,22.19,20.43,17.81,20.63,5.48,18.67,16.74,15.12,29613.00,13.87,133.89,121.64,110.93,11.54,12.72,37.39,24.87,30.71,26.26,609.36,115.74,172.09,,76.51,0.97,-3.50,1,2238.15,0.25
Jayant Agro Org.,524330,JAYAGROGN,INE785A01026,Chemicals & Petrochemicals,Specialty Chemicals,163.15,7.83,7.06,4.47,7.99,,11.40,,12.64,15.30,12.73,13.83,10.36,25.16,11.65,4.73,4.60,14579.00,29.29,20.39,29.74,23.23,8.04,6.48,14.06,12.97,12.63,12.07,745.50,172.95,890.70,148.80,41.30,-0.04,-0.02,1,489.45,0.33
Jaykay Enter.,500306,JAYKAY,INE903A01025,Aerospace & Defense,Aerospace & Defense,126.45,29.19,0.62,0.69,,,0.00,,1.94,6.97,5.36,4.58,3.22,14.62,3.40,-0.63,-12.93,81040.00,0.00,222.75,428.79,0.00,5.59,0.35,94.73,28.82,63.44,32.05,326.16,12.33,24.30,13.45,286.67,-0.04,-2.60,1,1647.48,0.15
JD Cables,544524,,INE14VP01014,Industrial Products,Cables - Electricals,162.30,16.27,,,,,0.00,,42.74,37.33,37.33,37.33,,,,9.42,,,0.00,66.06,89.74,,,14.69,0.07,0.07,0.07,0.07,,,,,8.62,,,0,366.00,0.34
Jeena Sikho,544476,JSLL,INE0J5801029,Pharmaceuticals & Biotechnology,Pharmaceuticals,587.75,2.20,1.75,,,,5.66,,53.62,50.04,47.95,47.95,41.10,-6.38,,23.44,,3423.00,13.47,22.36,53.95,16.94,28.64,33.35,54.98,48.49,48.49,48.49,,,,,47.22,6.31,0.11,1,7305.78,0.30
Jenburkt Pharma,524731,,INE354A01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,976.00,3.67,3.31,4.43,3.57,16.96,6.25,19.62,26.67,26.02,27.54,31.39,20.52,1.02,21.88,22.75,21.01,6901.00,25.51,44.78,48.41,54.74,16.67,17.27,14.52,13.81,13.55,12.58,260.06,145.87,280.83,146.82,32.86,-3.49,0.12,1,430.74,0.01
Jindal Drilling,511034,JINDRILL,INE742C01031,Oil,Offshore Support Solution Drilling,458.50,0.00,0.01,0.05,0.05,99.53,1.74,99.64,10.93,8.15,1.98,2.53,-1.11,18.91,0.44,25.01,2.96,21522.00,1.89,134.41,104.09,213.67,4.06,5.62,19.88,7.77,10.21,9.54,692.07,132.73,428.78,481.09,-6.63,0.09,0.00,1,1328.75,0.07
Jindal Photo,532624,JINDALPHOT,INE796G01012,Finance,Investment Company,1072.00,,,,7.99,,0.00,,11.61,19.88,14.10,10.00,19.25,25.46,,92.69,,20363.00,0.00,0.00,0.00,0.00,18.47,11.26,3.10,2.45,2.45,2.45,270.27,8.29,54.80,68.43,2318.35,0.00,0.00,1,1099.71,0.06
Jindal Poly Inve,536773,JPOLYINVST,INE147P01019,Finance,Investment Company,1117.50,4.06,,,,,0.00,,15.21,19.60,-0.64,-1.06,,,,44.53,32.06,21243.00,0.00,69.18,0.00,60.24,11.32,11.84,2.43,2.04,2.04,2.04,302.48,7.52,61.13,90.45,-18.03,0.06,0.00,1,1174.48,0.01
Jindal Saw,500378,JINDALSAW,INE324A01032,Industrial Products,Iron & Steel Products,186.00,2.55,2.32,2.82,1.71,18.11,95.92,21.59,17.26,13.76,12.79,10.54,11.13,12.13,8.93,13.27,12.65,172209.00,9.96,49.56,65.22,58.51,4.51,6.04,10.33,10.55,10.06,9.59,2880.95,1464.45,3797.35,1800.63,24.89,3.06,2.59,1,11894.81,0.43
Jindal Stain.,532508,JSL,INE220G01021,Ferrous Metals,Iron & Steel,695.15,4.82,3.05,4.13,2.62,24.58,140.00,18.72,20.38,24.34,20.65,16.98,20.11,44.13,18.26,12.04,11.48,211924.00,9.57,43.04,31.03,19.87,9.38,8.30,21.30,15.12,14.88,14.12,10643.91,1174.24,3764.29,321.04,21.63,8.48,0.02,1,57309.53,0.38
Jindal Steel,532286,JINDALSTEL,INE749A01030,Ferrous Metals,Iron & Steel,1133.70,3.98,2.45,4.00,2.69,32.47,181.41,8.69,12.67,15.23,12.28,8.95,8.81,103.00,4.85,23.42,21.47,298258.00,5.63,9.02,9.56,29.19,6.67,6.34,18.34,16.77,16.13,16.60,54355.39,8384.53,21207.71,14345.69,-31.51,-4.11,4.93,1,115647.39,0.39
Jio Financial,543940,JIOFIN,INE758E01017,Finance,Investment Company,231.80,,,,,,,,1.51,1.51,1.51,1.51,,,,,,4978984.00,6.57,,39.33,,,,120.39,120.39,120.39,120.39,,,,,1209.27,,,1,147265.80,0.08
JK Paper,532162,JKPAPER,INE789E01012,"Paper, Forest & Jute Products",Paper & Paper Products,321.60,4.93,3.73,5.09,4.76,10.32,105.03,10.71,19.13,16.67,18.21,16.75,18.91,-19.60,18.07,23.05,23.03,150342.00,14.95,19.98,21.03,8.80,8.31,10.09,8.38,9.51,8.88,8.34,5148.98,1327.91,2371.02,430.35,29.58,2.64,2.94,1,5447.97,0.39
JNK,544167,JNKINDIA,INE0OAF01028,Industrial Manufacturing,Industrial Products,226.15,2.78,9.25,,,74.64,0.63,,38.15,52.00,52.00,52.00,,-26.93,,16.76,,59844.00,2.64,138.88,179.54,75.89,14.89,11.51,49.27,49.27,49.27,49.27,,,,,124.95,,,1,1265.40,0.05
Josts Engg. Co.,505750,,INE636D01041,Industrial Manufacturing,Industrial Products,218.15,6.26,4.04,4.97,,5.05,0.75,11.37,26.94,22.44,19.56,19.56,19.43,12.67,,9.97,,11732.00,8.96,100.59,112.06,107.07,7.99,9.96,34.80,28.97,30.51,26.98,95.85,58.36,124.21,76.07,39.49,0.00,-0.01,1,258.00,0.18
JTEKT India,520057,JTEKTINDIA,INE643A01035,Auto Components,Auto Components & Equipments,122.25,9.00,8.43,12.32,10.27,3.53,11.75,4.33,14.65,11.18,11.15,11.55,8.86,12.54,9.13,7.95,9.14,49205.00,17.75,55.56,50.92,46.82,5.58,7.47,46.58,49.66,48.22,46.18,1925.57,1029.20,2099.71,1065.79,22.73,-3.49,6.67,1,3391.18,0.23
JTL Industries,534600,JTLIND,INE391J01032,Industrial Products,Iron & Steel Products,50.74,13.96,8.25,13.85,10.08,8.94,2.63,15.49,22.92,26.83,27.17,25.00,18.41,-12.53,18.44,7.22,7.12,90341.00,3.59,29.52,40.06,80.60,15.76,15.02,30.81,27.37,29.61,27.48,1366.34,84.59,159.20,56.00,100.18,2.13,-2.25,1,1938.47,0.12
Jubilant Agri,544355,JUBLCPL,INE03CC01015,Chemicals & Petrochemicals,Specialty Chemicals,1583.00,,,,,,,,33.22,33.22,33.22,33.22,,,,,,,,,70.15,,,,28.02,28.02,28.02,28.02,,,,,31.59,,,1,2398.64,0.10
Jubilant Ingrev.,543271,JUBLINGREA,INE0BY001018,Chemicals & Petrochemicals,Specialty Chemicals,562.25,4.29,1.38,,,36.13,64.53,38.87,12.38,14.82,14.82,14.82,,,,13.11,,124830.00,33.51,42.84,47.53,,6.86,5.67,39.81,37.66,37.66,37.66,7165.26,,,,36.13,-2.25,19.11,1,8955.63,0.27
Jubilant Pharmo,530019,JUBLPHARMA,INE700A01033,Pharmaceuticals & Biotechnology,Pharmaceuticals,814.00,1.36,1.10,2.84,2.04,966.12,79.34,36.92,6.47,8.23,10.31,11.47,8.68,-11.63,10.38,16.66,19.24,102442.00,-6.15,55.25,50.23,78.99,2.76,0.41,49.12,16.79,36.46,15.16,6183.23,3533.43,11902.58,2168.07,43.04,-7.42,9.61,1,12967.00,0.44
Jupiter Life Lin,543980,JLHL,INE682M01012,Healthcare Services,Hospital,1254.15,11.11,8.45,,,,2.62,,20.51,17.00,17.00,17.00,,2.75,,21.60,,33914.00,2.37,13.88,16.75,35.17,8.19,11.75,51.32,51.32,51.32,51.32,,,,,-16.19,,,1,8222.97,0.28
Jupiter Wagons,533272,JWL,INE209L01016,Industrial Manufacturing,Railway Wagons,254.00,3.27,5.24,15.23,6.51,0.00,19.86,0.00,25.84,21.66,15.47,8.20,17.15,34.62,,12.87,12.22,309767.00,12.56,21.98,53.65,32.25,9.83,11.78,51.94,43.25,42.86,43.25,390.59,71.14,80.49,101.92,42.92,4.46,-1.40,1,10855.21,0.21
Just Dial,535648,JUSTDIAL,INE599M01018,Retailing,Internet & Catalogue Retail,504.60,,,,,0.00,0.00,0.00,4.54,5.12,12.16,13.75,5.99,-23.64,6.91,18.17,20.45,81848.00,0.00,0.00,0.00,0.00,3.23,3.10,52.95,24.01,58.81,27.19,5947.38,1904.60,2985.54,9331.47,-194.18,2.58,0.17,1,4291.33,0.02
Jyothy Labs,532926,JYOTHYLAB,INE668F01031,Household Products,Household Products,204.00,4.58,4.13,5.10,4.65,2.06,121.18,1.83,37.49,31.33,28.34,25.63,25.99,7.71,24.91,15.30,15.45,194753.00,38.45,22.81,26.87,26.20,16.75,19.44,39.06,34.89,35.27,32.55,5414.49,3385.66,7196.73,4838.13,29.74,-0.60,-1.99,1,7491.18,0.04
Jyoti CNC Auto.,544081,JYOTICNC,INE980O01024,Industrial Manufacturing,Industrial Products,718.00,0.66,0.45,,,,0.00,14.50,17.73,11.52,9.23,9.23,8.03,20.69,,18.01,,56461.00,0.00,97.88,74.31,105.01,2.03,6.52,80.42,80.42,80.42,80.42,,,,,111.89,,,1,16328.97,0.40
Jyoti Resins,514448,,INE577D01013,Chemicals & Petrochemicals,Specialty Chemicals,742.25,12.81,6.49,8.83,3.29,,6.60,,62.92,55.06,53.67,41.26,42.64,-3.00,41.86,24.71,20.98,51230.00,15.40,129.04,140.79,263.88,19.12,24.91,24.57,24.88,25.63,23.58,880.94,46.00,28.40,4.08,13.98,0.04,1.04,1,890.70,0.00
K P R Mill Ltd,532889,KPRMILL,INE930H01031,Textiles & Apparels,Other Textile Products,806.75,2.60,2.56,2.62,3.37,37.42,90.28,374.69,21.46,24.07,22.98,22.18,21.43,-3.44,21.46,21.51,20.51,100701.00,17.07,36.35,36.90,44.55,15.82,14.09,36.86,20.32,32.47,24.30,21418.83,2327.15,4674.54,1790.18,102.33,3.41,5.31,1,27575.83,0.06
Kabra Extrusion,524109,KABRAEXTRU,INE900B01029,Industrial Manufacturing,Industrial Products,201.50,1.75,1.51,1.45,,14.69,10.07,26.19,10.92,11.58,10.57,10.53,7.91,14.32,8.42,11.48,10.91,30052.00,31.57,50.29,62.94,26.99,5.35,4.78,42.11,29.77,41.34,38.04,1689.16,135.11,378.52,230.02,87.34,-0.01,-0.04,1,704.71,0.32
Kajaria Ceramics,500233,KAJARIACER,INE217B01036,Consumer Durables,Ceramics,895.80,5.15,3.52,4.14,3.55,1.29,162.41,1.18,19.42,20.69,20.62,23.37,15.74,-6.30,17.02,15.32,16.02,82462.00,45.19,50.57,48.50,51.56,11.71,10.66,50.21,43.05,48.73,46.63,16227.67,5974.41,9100.70,6413.20,44.80,-6.91,1.81,1,14267.61,0.10
Kalind,526935,,INE377D01018,Commercial Services & Supplies,Diversified Commercial Services,79.49,,,,,,,,12.19,12.19,12.19,12.19,,,,,,2897.00,0.00,0.00,273.75,,,4.23,57.67,60.31,60.31,60.31,14.44,5.39,3.30,3.30,247.35,0.00,0.71,1,968.91,0.00
Kalyani Cast-Tec,544023,,INE0N6U01018,Industrial Manufacturing,Industrial Products,514.00,10.73,1.38,,,,0.00,,49.40,34.07,34.07,34.07,,76.02,,13.43,,2031.00,0.00,44.80,46.94,88.51,18.22,27.13,26.32,26.32,26.32,26.32,,,,,55.31,,,0,369.07,0.00
Kalyani Steels,500235,KSL,INE907A01026,Industrial Products,Iron & Steel Products,633.05,6.28,5.55,6.53,3.93,2.41,41.53,2.99,15.16,17.96,18.38,19.79,15.25,-1.03,16.10,18.22,18.02,44048.00,20.37,89.10,78.53,71.70,10.23,8.85,13.69,9.37,10.14,8.94,1293.88,556.14,1298.68,587.13,0.43,-1.10,1.96,1,2763.46,0.22
Kansai Nerolac,500165,KANSAINER,INE531A01024,Consumer Durables,Paints,161.55,2.80,2.56,3.25,4.28,5.46,231.20,0.20,14.75,14.62,15.91,18.81,11.80,-6.19,13.20,12.43,13.80,154277.00,27.61,62.65,61.89,54.40,8.11,8.23,33.84,50.64,47.34,50.84,25208.34,20880.97,27259.25,11643.39,80.09,1.85,-2.93,1,13063.87,0.04
Kataria Indust.,,KATARIA,INE0SVY01018,Industrial Manufacturing,Industrial Products,102.00,7.83,,,,,0.00,,14.92,15.28,15.28,15.28,,,,7.26,,1499.00,0.00,65.38,45.13,,,6.92,22.40,22.40,22.40,22.40,,,,,33.45,,,0,219.62,0.02
Kaveri Seed Co.,532899,KSCL,INE455I01029,Agricultural Food & other Products,Other Agricultural Products,797.10,0.73,0.80,0.84,0.80,1.36,24.25,1.53,19.65,20.25,20.64,20.11,19.42,-3.23,19.02,24.53,24.87,57457.00,8.66,41.76,36.42,46.38,12.21,11.69,15.49,15.14,14.58,13.87,3190.20,2062.65,3194.89,6785.24,100.48,3.50,-4.08,1,4100.22,0.00
Kavveri Defence,590041,KAVDEFENCE,INE641C01019,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,58.72,0.05,0.04,0.03,0.16,,0.00,30.30,10.43,5.82,3.79,1.09,-3.40,16.49,-24.06,-665.63,-176.72,14194.00,0.00,3244.01,475.82,4292.56,2.50,8.04,1.95,1.95,1.95,1.95,20.22,3.32,20.93,26.26,-927.19,-11.94,-6.48,1,353.05,0.07
Kaycee Inds.,504084,,INE813G01023,Electrical Equipment,Other Electrical Equipment,788.00,5.21,3.79,4.22,1.96,1.06,0.43,1.37,26.75,20.86,19.19,15.29,15.76,14.58,13.12,12.24,9.34,10543.00,11.88,139.36,109.37,148.31,11.16,14.46,53.71,21.86,26.60,21.65,22.19,15.33,21.22,8.55,91.93,0.00,-0.07,1,250.09,0.11
Kesar India,543542,,INE0L1C01019,Realty,"Residential, Commercial Projects",1155.95,0.53,0.02,,,0.00,0.00,,29.19,47.14,39.82,39.82,,,,28.00,,359.00,0.00,77.25,20.29,45.62,18.91,12.53,108.16,92.72,92.72,92.72,,,,,103.80,16.54,0.00,0,3236.53,0.24
Kewal Kir.Cloth.,532732,KKCL,INE401H01017,Textiles & Apparels,Garments & Apparels,412.90,1.50,1.63,1.83,,2.77,40.18,1.59,25.12,20.04,20.84,22.46,17.34,-1.48,18.09,17.96,19.25,36514.00,14.14,102.67,93.22,117.78,11.56,14.47,25.46,25.62,26.36,24.04,1228.50,774.37,1861.24,2618.99,67.68,-1.15,3.07,1,2544.49,0.18
Keystone Realtor,543669,RUSTOMJEE,INE263M01029,Realty,"Residential, Commercial Projects",364.00,0.00,0.06,,,,3.78,,7.13,9.65,9.65,9.65,,7.87,,9.92,,18943.00,3.66,32.66,21.74,19.25,3.28,2.34,52.38,50.12,50.12,50.12,,,,,291.71,0.62,10.70,1,4594.89,0.44
KFin Technolog.,543720,KFINTECH,INE138Y01010,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",892.00,,,,,11.68,45.48,3.78,30.78,28.25,24.89,24.89,17.52,91.60,,43.57,,164610.00,26.25,64.27,64.94,71.66,12.75,18.57,51.87,50.54,50.54,50.54,,,,,10.36,17.80,1.27,1,15389.15,0.03
Khazanchi Jewell,543953,,INE0OWC01011,Consumer Durables,"Gems, Jewellery And Watches",675.00,2.37,3.91,,,,0.50,,20.33,15.33,15.33,15.33,,16.05,,3.67,,1126.00,1.84,4.70,5.42,1.32,7.95,11.59,37.34,37.34,37.34,37.34,,,,,62.27,,,0,1670.42,0.22
Khemani Distrib.,539788,,INE030U01025,Retailing,Distributors,126.30,3.57,4.07,6.33,5.96,0.00,0.00,0.00,19.72,23.47,11.48,11.62,12.12,18.75,11.61,16.70,8.05,54.00,0.00,16.89,12.61,30.25,17.10,14.67,21.20,22.32,10.76,13.05,60.31,172.50,189.75,,76.44,0.00,0.00,0,290.16,0.04
Kilburn Engg.,522101,,INE338F01015,Industrial Manufacturing,Industrial Products,482.10,,,,,13.12,,11.62,21.68,21.68,21.68,21.68,,,,,,19669.00,,,88.77,,,,34.26,34.26,34.26,34.26,171.03,17.63,98.29,71.98,134.22,1.28,5.86,1,2529.23,0.19
